Id,Source,Target,Type,Kind,Weight,Relationship,Number
0,__1,Gue,Directed,1:Prom,0.75,Prom,1
1,__2,Coh,Directed,1:Prom,0.75,Prom,1
2,__3,Cap,Directed,1:Prom,0.75,Prom,1
3,Mor,Ch,Undirected,1:B,0.25,B,1
4,Mor,Biz,Undirected,1:B,0.25,B,1
5,Mor,Mon,Undirected,1:B,0.25,B,1
6,Mor,Lin,Undirected,1:B,0.25,B,1
7,Mor,Cas,Undirected,1:B,0.25,B,1
8,Mor,Gue,Undirected,1:B,0.25,B,1
9,Mor,Pau,Undirected,1:B,0.25,B,1
10,Mor,Do,Undirected,1:B,0.25,B,1
11,Mor,Chej,Undirected,1:B,0.25,B,1
12,Mor,Saa,Undirected,1:B,0.25,B,1
13,Mor,Cap,Undirected,1:B,0.25,B,1
14,Ch,Biz,Undirected,1:B,0.25,B,1
15,Ch,Mon,Undirected,1:B,0.25,B,1
16,Ch,Lin,Undirected,1:B,0.25,B,1
17,Ch,Cas,Undirected,1:B,0.25,B,1
18,Ch,Gue,Undirected,1:B,0.25,B,1
19,Ch,Pau,Undirected,1:B,0.25,B,1
20,Ch,Do,Undirected,1:B,0.25,B,1
21,Ch,Chej,Undirected,1:B,0.25,B,1
22,Ch,Saa,Undirected,1:B,0.25,B,1
23,Ch,Cap,Undirected,1:B,0.25,B,1
24,Biz,Mon,Undirected,1:B,0.25,B,1
25,Biz,Lin,Undirected,1:B,0.25,B,1
26,Biz,Cas,Undirected,1:B,0.25,B,1
27,Biz,Gue,Undirected,1:B,0.25,B,1
28,Biz,Pau,Undirected,1:B,0.25,B,1
29,Biz,Do,Undirected,1:B,0.25,B,1
30,Biz,Chej,Undirected,1:B,0.25,B,1
31,Biz,Saa,Undirected,1:B,0.25,B,1
32,Biz,Cap,Undirected,1:B,0.25,B,1
33,Mon,Lin,Undirected,1:B,0.25,B,1
34,Mon,Cas,Undirected,1:B,0.25,B,1
35,Mon,Gue,Undirected,1:B,0.25,B,1
36,Mon,Pau,Undirected,1:B,0.25,B,1
37,Mon,Do,Undirected,1:B,0.25,B,1
38,Mon,Chej,Undirected,1:B,0.25,B,1
39,Mon,Saa,Undirected,1:B,0.25,B,1
40,Mon,Cap,Undirected,1:B,0.25,B,1
41,Lin,Cas,Undirected,1:B,0.25,B,1
42,Lin,Gue,Undirected,1:B,0.25,B,1
