id,source,target,type,weight,relations,year
0,Gue,Biz,Undirected,0.05,Rev,1982
1,Chit,Biz,Undirected,0.05,Rev,1983
2,Pau,Biz,Undirected,0.05,Rev,1983
3,Pau,Chit,Undirected,0.05,Rev,1983
4,Gue,Biz,Undirected,0.05,Rev,1983
5,Gue,Chit,Undirected,0.05,Rev,1983
6,Gue,Pau,Undirected,0.05,Rev,1983
7,Ch,Chit,Undirected,0.05,Rev,1983
8,Ch,Pau,Undirected,0.05,Rev,1983
9,Ch,Gue,Undirected,0.05,Rev,1983
10,Biz,San,Undirected,0.066,Cri,1983
11,Gue,San,Undirected,0.066,Cri,1983
12,Ch,Biz,Undirected,0.05,Rev,1983
13,Ch,San,Undirected,0.066,Cri,1983
14,Gue,Biz,Undirected,0.066,Cri,1983
15,Pau,Chit,Undirected,0.066,Ent,1983
16,Ch,Chit,Undirected,0.066,Ent,1983
17,Pau,Ch,Undirected,0.066,Cri,1983
18,Pau,Gue,Undirected,0.066,Cri,1983
19,Pau,Ch,Undirected,0.066,Ent,1983
20,Pau,San,Undirected,0.066,Cri,1983
21,Ch,Gue,Undirected,0.066,Cri,1983
22,Ch,Biz,Undirected,0.066,Cri,1983
23,Pau,Biz,Undirected,0.066,Cri,1983
24,Pau,Gue,Undirected,0.05,Pol,1984
25,Cap,Dor,Undirected,0.058,Pro,1984
26,Pau,Gue,Undirected,0.058,Pro,1984
27,Gue,Cap,Undirected,0.05,Pol,1984
28,Ch,Cap,Undirected,0.05,Pol,1984
29,Ch,Gue,Undirected,0.05,Pol,1984
30,Chit,Cap,Undirected,0.05,Pol,1984
31,Chit,Gue,Undirected,0.05,Pol,1984
32,Chit,Ch,Undirected,0.05,Pol,1984
33,Pau,Cap,Undirected,0.05,Pol,1984
34,Pau,Ch,Undirected,0.05,Pol,1984
35,Ch,Gue,Undirected,0.058,Mes,1984
36,Gue,Cap,Undirected,0.058,Mes,1984
37,Pau,Chit,Undirected,0.05,Pol,1984
38,Pau,Chit,Undirected,0.058,Mes,1984
39,Pau,Gue,Undirected,0.058,Mes,1984
40,Pau,Cap,Undirected,0.058,Mes,1984
41,Pau,Ch,Undirected,0.058,Mes,1984
42,Chit,Gue,Undirected,0.058,Mes,1984
43,Chit,Cap,Undirected,0.058,Mes,1984
44,Ch,Cap,Undirected,0.058,Mes,1984
